tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P
5100587,54900.0,55000.0,55042.0,55131.0,55285.0,55374.0,55408.0,55443.0,55531.0,55563.0,55658.0,55710.0,55771.0,55818.0,55844.0,55883.0,55906.0,55964.0,55972.0,55987.0,56009.0,56121.0,56234.0,56270.0,56361.0,56400.0,56448.0,56525.0,56594.0,56631.0,56659.0,56683.0,56731.0,56786.0,56819.0,56837.0,56915.0,56995.0,57104.0,57196.0,57258.0,57493.0,57695.0,57804.0,57849.0
5101199,72600.0,72688.0,72723.0,72797.0,72895.0,72943.0,72969.0,72997.0,73073.0,73101.0,73186.0,73224.0,73246.0,73280.0,73301.0,73334.0,73353.0,73402.0,73412.0,73428.0,73445.0,73533.0,73640.0,73674.0,73760.0,73797.0,73825.0,73870.0,73923.0,73958.0,73984.0,74008.0,74045.0,74086.0,74107.0,74119.0,74183.0,74231.0,74312.0,74380.0,74426.0,74574.0,74776.0,74885.0,74930.0
5102080,21720.0,21824.0,21863.0,21945.0,22030.0,22077.0,22108.0,22141.0,22231.0,22269.0,22337.0,22390.0,22419.0,22457.0,22488.0,22532.0,22557.0,22622.0,22634.0,22649.0,22668.0,22767.0,22939.0,22981.0,23086.0,23131.0,23204.0,23320.0,23381.0,23415.0,23441.0,23463.0,23518.0,23581.0,23618.0,23639.0,23720.0,23800.0,23904.0,23991.0,24050.0,24211.0,24413.0,24522.0,24567.0
5102082,29400.0,29518.0,29558.0,29645.0,29770.0,29833.0,29868.0,29904.0,29989.0,30019.0,30116.0,30178.0,30270.0,30383.0,30417.0,30462.0,30488.0,30553.0,30562.0,30577.0,30598.0,30703.0,30904.0,30943.0,31041.0,31083.0,31131.0,31208.0,31267.0,31300.0,31324.0,31347.0,31421.0,31504.0,31568.0,31604.0,31714.0,31837.0,32059.0,32245.0,32372.0,32760.0,32962.0,33071.0,33116.0
5102093,79800.0,79899.0,79931.0,80000.0,80064.0,80110.0,80140.0,80172.0,80242.0,80270.0,80329.0,80370.0,80394.0,80422.0,80444.0,80478.0,80498.0,80548.0,80553.0,80567.0,80584.0,80669.0,80778.0,80808.0,80884.0,80916.0,80944.0,80988.0,81028.0,81060.0,81083.0,81107.0,81135.0,81167.0,81189.0,81201.0,81252.0,81305.0,81371.0,81426.0,81464.0,81555.0,81752.0,81858.0,81902.0
5102608,44100.0,44207.0,44247.0,44334.0,44464.0,44582.0,44614.0,44647.0,44728.0,44760.0,44879.0,44932.0,44973.0,45026.0,45050.0,45089.0,45111.0,45168.0,45176.0,45191.0,45208.0,45296.0,45416.0,45453.0,45546.0,45586.0,45622.0,45681.0,45738.0,45771.0,45796.0,45820.0,45853.0,45891.0,45920.0,45936.0,46020.0,46087.0,46193.0,46283.0,46344.0,46558.0,46760.0,46869.0,46914.0
5103779,69300.0,69388.0,69423.0,69497.0,69595.0,69643.0,69669.0,69697.0,69773.0,69801.0,69886.0,69924.0,69946.0,69980.0,70001.0,70034.0,70053.0,70102.0,70112.0,70128.0,70145.0,70233.0,70340.0,70374.0,70460.0,70497.0,70525.0,70570.0,70623.0,70658.0,70684.0,70708.0,70745.0,70786.0,70807.0,70819.0,70883.0,70931.0,71012.0,71080.0,71126.0,71274.0,71476.0,71585.0,71630.0
5105141,40500.0,40607.0,40648.0,40736.0,40861.0,40964.0,40992.0,41022.0,41096.0,41123.0,41226.0,41272.0,41308.0,41346.0,41370.0,41410.0,41433.0,41493.0,41500.0,41515.0,41533.0,41627.0,41745.0,41780.0,41869.0,41908.0,41939.0,41988.0,42044.0,42076.0,42100.0,42124.0,42174.0,42230.0,42278.0,42305.0,42381.0,42447.0,42556.0,42648.0,42711.0,42929.0,43131.0,43240.0,43285.0
5105145,58500.0,58600.0,58642.0,58731.0,58885.0,58974.0,59008.0,59043.0,59131.0,59163.0,59258.0,59310.0,59371.0,59418.0,59444.0,59483.0,59506.0,59564.0,59572.0,59587.0,59609.0,59721.0,59834.0,59870.0,59961.0,60000.0,60048.0,60125.0,60194.0,60231.0,60259.0,60283.0,60331.0,60386.0,60419.0,60437.0,60515.0,60595.0,60704.0,60796.0,60858.0,61093.0,61295.0,61404.0,61449.0
5107398,83400.0,83499.0,83531.0,83600.0,83664.0,83710.0,83740.0,83772.0,83842.0,83870.0,83929.0,83970.0,83994.0,84022.0,84044.0,84078.0,84098.0,84148.0,84153.0,84167.0,84184.0,84269.0,84378.0,84408.0,84484.0,84516.0,84544.0,84588.0,84628.0,84660.0,84683.0,84707.0,84735.0,84767.0,84789.0,84801.0,84852.0,84905.0,84971.0,85026.0,85064.0,85155.0,85352.0,85458.0,85502.0
5107747,51300.0,51407.0,51447.0,51534.0,51664.0,51782.0,51814.0,51847.0,51928.0,51960.0,52079.0,52132.0,52173.0,52226.0,52250.0,52289.0,52311.0,52368.0,52376.0,52391.0,52408.0,52496.0,52616.0,52653.0,52746.0,52786.0,52822.0,52881.0,52938.0,52971.0,52996.0,53020.0,53053.0,53091.0,53120.0,53136.0,53220.0,53287.0,53393.0,53483.0,53544.0,53758.0,53960.0,54069.0,54114.0
5107752,76200.0,76299.0,76331.0,76400.0,76464.0,76510.0,76540.0,76572.0,76642.0,76670.0,76729.0,76770.0,76794.0,76822.0,76844.0,76878.0,76898.0,76948.0,76953.0,76967.0,76984.0,77069.0,77178.0,77208.0,77284.0,77316.0,77344.0,77388.0,77428.0,77460.0,77483.0,77507.0,77535.0,77567.0,77589.0,77601.0,77652.0,77705.0,77771.0,77826.0,77864.0,77955.0,78152.0,78258.0,78302.0
5113022,36900.0,37007.0,37048.0,37136.0,37261.0,37364.0,37392.0,37422.0,37496.0,37523.0,37626.0,37672.0,37708.0,37746.0,37770.0,37810.0,37833.0,37893.0,37900.0,37915.0,37933.0,38027.0,38145.0,38180.0,38269.0,38308.0,38339.0,38388.0,38444.0,38476.0,38500.0,38524.0,38574.0,38630.0,38678.0,38705.0,38781.0,38847.0,38956.0,39048.0,39111.0,39329.0,39531.0,39640.0,39685.0
5116890,47700.0,47807.0,47847.0,47934.0,48064.0,48182.0,48214.0,48247.0,48328.0,48360.0,48479.0,48532.0,48573.0,48626.0,48650.0,48689.0,48711.0,48768.0,48776.0,48791.0,48808.0,48896.0,49016.0,49053.0,49146.0,49186.0,49222.0,49281.0,49338.0,49371.0,49396.0,49420.0,49453.0,49491.0,49520.0,49536.0,49620.0,49687.0,49793.0,49883.0,49944.0,50158.0,50360.0,50469.0,50514.0
5116927,62100.0,62200.0,62242.0,62331.0,62485.0,62574.0,62608.0,62643.0,62731.0,62763.0,62858.0,62910.0,62971.0,63018.0,63044.0,63083.0,63106.0,63164.0,63172.0,63187.0,63209.0,63321.0,63434.0,63470.0,63561.0,63600.0,63648.0,63725.0,63794.0,63831.0,63859.0,63883.0,63931.0,63986.0,64019.0,64037.0,64115.0,64195.0,64304.0,64396.0,64458.0,64693.0,64895.0,65004.0,65049.0
5117538,25320.0,25424.0,25463.0,25545.0,25630.0,25677.0,25708.0,25741.0,25831.0,25869.0,25937.0,25990.0,26019.0,26057.0,26088.0,26132.0,26157.0,26222.0,26234.0,26249.0,26268.0,26367.0,26539.0,26581.0,26686.0,26731.0,26804.0,26920.0,26981.0,27015.0,27041.0,27063.0,27118.0,27181.0,27218.0,27239.0,27320.0,27400.0,27504.0,27591.0,27650.0,27811.0,28013.0,28122.0,28167.0
